district_raw,state_full,state_abrev,district_num,region,dem,dem_id,dem_per,gop,gop_id,gop_edit,hold_flip,winner,win_id,win_per,loser,lose_id,lose_per,delta
Ohio District 6,Ohio,OH,6,midwest,Roberts,H8OH06133,30.7,Johnson,H0OH06189,69.3,GOP Hold,Johnson,H0OH06189,69.3,Roberts,H8OH06133,30.7,38.6
Ohio District 7,Ohio,OH,7,midwest,Harbaugh,H8OH07123,41.3,Gibbs,H0OH18077,58.7,GOP Hold,Gibbs,H0OH18077,58.7,Harbaugh,H8OH07123,41.3,17.4
Ohio District 8,Ohio,OH,8,midwest,Enoch,H8OH08097,33.4,Davidson,H6OH08315,66.6,GOP Hold,Davidson,H6OH08315,66.6,Enoch,H8OH08097,33.4,33.2
Ohio District 9,Ohio,OH,9,midwest,Kaptur,H2OH09031,67.8,Kraus,H8OH09111,32.2,Dem Hold,Kaptur,H2OH09031,67.8,Kraus,H8OH09111,32.2,35.6
Ohio District 10,Ohio,OH,10,midwest,Gasper,H8OH10119,42.2,Turner,H2OH03067,55.9,GOP Hold,Turner,H2OH03067,55.9,Gasper,H8OH10119,42.2,13.7
Ohio District 11,Ohio,OH,11,midwest,Fudge,H8OH11141,82.2,Goldstein,H6OH11160,17.8,Dem Hold,Fudge,H8OH11141,82.2,Goldstein,H6OH11160,17.8,64.4
Ohio District 12,Ohio,OH,12,midwest,O'Connor,H8OH12297,47.2,Balderson,H8OH12180,51.4,GOP Hold,Balderson,H8OH12180,51.4,O'Connor,H8OH12297,47.2,4.2
Ohio District 13,Ohio,OH,13,midwest,Ryan,H2OH17109,61,DePizzo,H8OH13147,39,Dem Hold,Ryan,H2OH17109,61,DePizzo,H8OH13147,39,22
Ohio District 14,Ohio,OH,14,midwest,Rader,H8OH14111,44.8,Joyce,H2OH14064,55.2,GOP Hold,Joyce,H2OH14064,55.2,Rader,H8OH14111,44.8,10.4
Ohio District 15,Ohio,OH,15,midwest,Neal,H8OH15134,39.7,Stivers,H8OH15076,58.3,GOP Hold,Stivers,H8OH15076,58.3,Neal,H8OH15134,39.7,18.6
Ohio District 16,Ohio,OH,16,midwest,Palmer,H8OH16157,43.3,Gonzalez,H8OH16124,56.7,GOP Hold,Gonzalez,H8OH16124,56.7,Palmer,H8OH16157,43.3,13.4
