committee_id,fundraising
C00688119,27585.21
C00648287,1619.25
C00610071,4720.389999999999
C00656280,116.56
C00659813,94
C00653253,10107.96
C00667949,1462.53
C00686873,7483.6900000000005
C00688861,35420.62
C00690495,7501.07
C00633859,86065.45
C00593525,32591.05
C00639591,6005
C00668699,7368.63
C00664342,10491.869999999999
C00658997,4840.6
C00664375,38850.35
C00670646,386.01
C00650226,34782.43
C00664409,18956.7
C00656090,26409.95
C00647313,13127.66
C00669143,1678.49
C00653204,72864.88
C00665315,9967.16
C00650366,37500
C00665752,600
C00662932,25873.21
C00654525,7750
C00636761,5950
C00658013,17.11
C00680942,459.6
C00672774,14600
C00661371,1062.29
C00678086,1500
C00668335,568
C00229104,9438.11
C00239038,1801.14
C00264101,7500
C00648972,304
C00659763,1279.59
C00676502,2500
C00411660,70276.14
C00655340,422.97
C00310318,47826.48
C00663013,2975.4
C00441295,1811.45
C00463836,4325.85
C00012229,1874.15
C00167585,40
C00647610,1567.9099999999999
C00634808,66796.92
C00662171,56673.03
C00498568,358343.44
C00652248,743.07
C00445452,90000
C00650093,25875
C00650622,87311.79
C00648055,5543.81
C00581595,110671.6
C00677096,12349.48
C00680488,43777.47
C00661405,7599.74
C00684274,15095.630000000001
C00680934,83098.78
C00636324,14280.4
C00661868,44107.54
C00578716,450
C00637991,487.5
C00638783,750
C00649095,946.44
C00649533,1250
C00653626,6930
C00656165,2682.51
C00662494,5179
C00663310,500
C00664524,4747
C00664565,4750
C00666073,500
C00683086,14645.61
