,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
63,H8AZ04165,"DISANTO, DELINA",Disanto,DEM,AZ,4,C,C00672154,DELINA DISANTO FOR CONGRESS,20005.69,409,NA,NA,NA,NA,NA,NA,NA,NA,53.61,NA,NA,NA,1350,409
64,H8AZ05154,"GREENE, JOAN",Greene,DEM,AZ,5,C,C00640938,JOAN GREENE FOR CONGRESS,194657.63,7941.87,NA,NA,9506.11,NA,426,11098.15,1650.63,911.38,NA,21935.53,NA,NA,1000,549
65,H8AZ05162,"TORRES, JOSE LAZARO",Torres,DEM,AZ,5,C,C00661686,FRIENDS OF JOSE TORRES,14141.74,1554.04,NA,NA,750,NA,NA,5000,1705.58,1674,NA,NA,NA,NA,NA,NA
66,H8AZ05170,"MARGALIS, TONY",Margalis,DEM,AZ,5,C,C00665224,TONY MARGALIS FOR CONGRESS,2894.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.85,NA
67,H8AZ06087,"MCFADDEN, GARRICK ARVIN MR.",Mcfadden,DEM,AZ,6,C,C00638262,GARRICK MCFADDEN FOR CONGRESS,101508.29,188.57,NA,NA,15786.99,NA,43.27,227,275.82,340.9,1502.55,735.33,NA,NA,NA,NA
68,H8AZ06095,"ROSS, HEATHER MAURA",Ross,DEM,AZ,6,C,C00651752,HEATHER ROSS FOR CONGRESS,533976.37,14450.05,2343.4,7000,21404.52,224258.22,5520.38,125616.49,4625.44,23262.78,5795.57,NA,NA,NA,3501.03,NA
69,H8AZ06103,"MALIK, ANITA",Malik,DEM,AZ,6,NA,C00655134,ANITA FOR ARIZONA,379959.47,133556.76,NA,3593.18,9547.15,NA,NA,62164,8913.45,10002.24,1263.67,12495,20000,12376,13850,NA
70,H8AZ07044,"MIRANDA, CATHERINE",Miranda,DEM,AZ,7,C,C00664490,MIRANDA FOR ARIZONA,27850.99,NA,NA,NA,NA,NA,1500,936,4110.86,NA,568.8,NA,NA,NA,NA,NA
71,H8AZ08059,"WESTBROOK, BRIANNA",Westbrook,DEM,AZ,8,O,C00634188,BRIANNA WESTBROOK FOR CONGRESS,37850.37,1278.07,NA,NA,3000,260,NA,3200,1173.84,NA,56.56,2118.01,NA,NA,266.3,NA
72,H8AZ08067,"MCHALE, JUDITH KEENAN",Mchale,DEM,AZ,8,O,C00635730,JUDITH MCHALE FOR CONGRESS,2961.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,H8AZ08083,"TIPIRNENI, HIRAL VYAS",Tipirneni,DEM,AZ,6,C,C00649897,HIRAL FOR CONGRESS,4563573.79,2143708.57,75905.55,20000,630795.6,200906.71,NA,726932.35,8301.81,57600.23,29906.87,NA,NA,NA,16845.7,38.94
74,H8AZ08091,"SYLVESTER, CHRISTOPHER",Sylvester,IND,AZ,8,O,C00657627,SYLVESTER FOR ARIZONA,7593.16,3015,1300,NA,NA,NA,NA,1300,NA,NA,NA,NA,1507.5,NA,NA,NA
75,H8AZ08109,"LIEN, DAVID",Lien,REP,AZ,8,O,C00662460,DAVID LIEN FOR CONGRESS,24132.19,2747.97,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,2377.5
76,H8AZ08133,"LOVAS, PHIL",Lovas,REP,AZ,8,O,C00663203,LOVAS FOR CONGRESS,319287.7,220241.72,NA,500,14718.15,NA,NA,43659.11,1424.99,12900,NA,5651.09,34000,51500,2500,NA
77,H8AZ08141,"ALLEN, CHAD",Allen,REP,AZ,8,O,C00663757,CHAD ALLEN FOR CONGRESS,32823.88,5300,NA,NA,NA,NA,NA,NA,NA,3402.2,NA,NA,NA,NA,NA,NA
78,H8AZ08158,"LESKO, DEBBIE",Lesko,REP,AZ,8,I,C00663914,DEBBIE LESKO FOR CONGRESS,2211878.86,17516.07,22550,3000,446632.86,NA,NA,421856.32,4350.63,40448.7,28821.96,NA,NA,NA,926.28,NA
