committee_id,postage
C00290064,4722.3
C00680249,22.16
C00509422,16125.52
C00640375,217.45
C00673145,315
C00343236,8400.45
C00401224,26.86
C00655068,244.36999999999998
C00671404,1850
C00669531,904.59
C00668400,1127
C00670364,6824.62
C00670703,200
C00672311,10514.24
C00655134,10002.24
C00676668,1043.8600000000001
C00574640,201.95
C00670760,13.4
C00592469,900
C00665927,605
C00670414,176.88
C00665059,3858
C00664565,2659.32
C00657361,565.5
C00672899,4702
C00649509,42.45
C00675686,78.39
C00608901,814.96
C00661751,1376.65
C00652776,748.6
C00652172,1047
C00653493,270
C00659284,162.81
C00666586,3350
C00669580,450
C00640904,50.99
C00656033,215.8
C00439661,4164
C00639658,1919.2
C00651117,113.74
C00631762,329.7
C00647693,3416.6
C00672808,13.65
C00653204,1587.94
C00641340,358.34000000000003
C00682351,19299.14
C00654277,5866.5
C00668574,7236.83
C00636613,500
C00286500,122.91
C00678656,471.8
C00653220,305
C00607556,706.61
C00656280,2773.99
C00588558,460
C00674259,172460.02
C00663450,223.11
C00665182,40
C00254573,250
C00673194,16.45
C00673525,469.77
C00552810,131.96
C00676528,210.58
C00666594,175
C00660993,80
C00676726,547.45
C00637785,701.75
C00674838,280
C00657833,38903.31
C00638403,300
C00686089,100
C00672568,28.7
C00669465,1535
C00678060,7
C00670877,70
C00681767,1112.49
C00673350,1476.53
C00669507,3829.06
C00657841,4603.16
C00391029,250
C00590067,11953.68
C00671859,311.42
C00636092,428.01
C00675710,3.95
C00663054,730
C00659813,32
C00662973,5000
C00666057,4.45
C00668699,2934.52
C00639591,7.15
C00672295,2775
C00670646,250
C00650226,9434.36
C00664409,4534.17
C00678326,391.37
C00662171,1663.64
C00669143,297.93
C00650366,16847.12
C00665752,6248.83
C00654525,4834.75
C00432906,68.15
C00667527,2100
C00663914,480
C00661058,0
C00649012,98
C00668467,3242.13
C00283051,6.8
C00288159,8417.76
C00333740,316.84
C00661769,300
C00661116,104.3
C00652958,50
C00675538,468
C00409797,98
C00662809,500
C00310318,2606.82
C00664680,40.24
C00013128,36.63
C00647610,4267.82
C00672451,328.15999999999997
C00659755,317.89
C00631127,503.12
C00498568,11956.11
C00655233,581.81
C00532721,21.439999999999998
C00650093,345.31
C00633172,17.9
C00650622,1352.18
C00648055,1909.36
C00653592,2780.88
C00677096,95.74000000000001
C00680934,9919.47
C00681296,1000.16
C00650358,1513.81
C00666453,3061.7599999999998
C00581595,3540.33
C00661405,930.83
C00236513,99200
C00376087,3250
C00680488,652
C00662767,529.96
C00652297,1500
C00649236,226.09
C00662130,467.73
C00661868,1371.23
C00666362,157.15
C00634808,9841.11
C00616573,350
C00634683,100
C00637991,487.5
C00647560,2617.98
C00655191,8285.54
C00656165,21166.870000000003
C00660126,50
C00670992,574.7
C00656090,6.65
