"","committee_id","total","advertise","poll","research","fundraise","pay","materials","consulting","event","mail","travel","smedia","radio","television","website","newspaper"
"2408","C00669879",295313.86,4200,19000,NA,NA,25179.28,NA,214865.16,500,NA,NA,295,NA,NA,NA,NA
"2409","C00669945",17592.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2410","C00669952",16362.51,NA,NA,NA,500,300,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"2411","C00669978",29087.08,NA,NA,NA,4283.75,7173.8,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA
"2412","C00670018",11855.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2413","C00670034",4859584.91,5585805.14,NA,92854.5,42379.21,263089.23,NA,90212.19,2326.58,6369.16,5085.83,NA,NA,3475743.75,NA,NA
"2414","C00670059",248561.2,11418.5,NA,NA,NA,NA,NA,5250.2,NA,18354.8,NA,NA,NA,NA,10,5709.25
"2415","C00670182",8158.09,NA,NA,NA,NA,NA,NA,4405,NA,NA,NA,NA,NA,NA,3,NA
"2416","C00670224",7808.87,1106,NA,NA,NA,NA,437.89,NA,300,NA,NA,NA,806,NA,NA,NA
"2417","C00670232",29869.62,NA,NA,NA,NA,15150,NA,NA,NA,NA,515.57,NA,NA,NA,NA,NA
