committee_id,event
C00652073,768.4
C00639989,10799.85
C00659615,7933.58
C00638973,4111.43
C00666081,6889.410000000001
C00663252,16214.869999999999
C00657353,269.43
C00647164,5067.08
C00140715,62216.189999999995
C00649350,14044.76
C00634188,1173.84
C00519645,24
C00614784,250
C00647214,41.16
C00664060,300
C00658070,36375
C00666347,3231.4900000000002
C00671537,8726.17
C00652651,14185.49
C00671016,366.33
C00458976,82026.5
C00659912,14783.43
C00606970,742.67
C00651760,389.6
C00686717,8322.04
C00346080,2888
C00655191,7338.12
C00632448,1704.96
C00666362,625
C00668483,400
C00244335,1000
C00600718,3318
C00646372,4369.54
C00676734,1335.5900000000001
C00637496,6760.12
C00432906,25241.72
C00663450,2211.4
C00658740,3000
C00401190,9053
C00670463,53.4
C00674911,20
C00667832,1250
C00653733,10749.64
C00637777,27716.9
C00654830,250
C00395848,486558.85
C00675637,2596.34
C00257337,194707.84
C00680553,1100.75
C00665034,1533.9699999999998
C00648295,29619.57
C00673350,12130
C00376665,60827.01
C00670976,2725.85
C00667675,11779.77
C00630954,4639.16
C00333740,23764.59
C00672170,2050.9
C00638999,1067.96
C00588558,834.6800000000001
C00668491,5206.7
C00477745,7178.04
C00422980,8206.91
C00637363,40333.409999999996
C00608430,3954.35
C00639054,14366.61
C00677583,1500.12
C00634337,220
C00334706,15
C00653410,1564.4
C00200865,20712.34
C00543843,230.85
C00224691,139004.79
C00330142,27846.48
C00685263,506.49
C00649087,3652.28
C00672642,346.83
C00639450,5751.22
C00659714,9489.16
C00667006,2126.2999999999997
C00647677,10882.11
C00671156,54837.6
C00462374,64842.19
C00374058,15022.27
C00446815,25377.36
C00420935,25673.12
C00308742,5111.86
C00634253,53369.66
C00616045,1026.4
C00592154,23817.43
C00595694,2636.44
C00443705,54656.59
C00458125,7199.34
C00602722,18439.21
C00672824,450
C00548727,309
C00657171,3654.26
C00646612,5420.87
C00651547,2440.81
C00575506,300
C00651752,4625.44
C00683268,2500
C00447474,2120
C00657874,410.86
C00638023,43019.85
C00473736,23349.920000000002
C00663468,853.87
C00640755,716.71
C00570457,13118.22
C00629865,4465.61
C00639690,7588.68
C00656793,295.66
C00554949,132587.37
C00172619,4017.41
C00630517,2629.33
C00591289,194.44
C00630244,1073.51
C00592816,400
C00602888,1204.06
C00602920,2539.63
C00668459,415.95
C00670380,2450
C00661348,1692
C00638601,867.89
C00673467,3452.7
C00615518,10.33
C00647560,1000
C00659516,250
C00654863,2535.79
C00266940,556.88
C00660761,0
C00658419,13229.26
C00655803,750
C00602706,2446.66
C00649632,6650.13
C00654376,478.97
C00308387,2332
C00647974,2768.08
C00636563,3376.96
C00670760,1968.8400000000001
C00430991,30810.78
C00659763,13467.57
C00640839,105912.54
C00563940,41914.67
C00672352,270
C00670570,572.9
C00631978,4639.43
C00649178,300
C00664862,25
C00651539,1817.9499999999998
C00651711,324
C00651372,1469
C00665885,2660
C00433136,17063.74
C00637991,2728.61
C00660316,50.33
C00668830,2948.3
C00669176,2000
C00673020,1816.83
C00656678,729.4000000000001
C00633859,20599.56
C00290825,323382.61
C00573352,1000
C00665141,255
C00347492,67456.3
C00653238,260
C00631168,21614.61
C00632174,16557.86
C00664847,7147.52
C00652289,707.8
C00215905,125998.19
C00631234,1695
C00419630,32771.13
C00652735,214
C00665968,3215.33
C00620443,111813.51
C00254573,35534.95
C00657155,260
C00409797,25915.28
C00631465,823.82
C00369801,8255.3
C00657213,189.12
C00663310,8351.91
C00674838,7500
C00666743,2150.08
C00476853,200.85
C00612697,585.25
C00654079,12179.28
C00631895,5510.05
C00672931,20302.94
C00410829,1000
C00497818,1076.41
C00665471,5600
C00675108,465.24
C00666164,1073.24
C00652362,2980
C00655084,300
C00654194,2355
C00607531,900
C00672212,482.06
C00369686,2908
C00416594,17010.06
C00671511,300
C00659839,904.08
C00634048,1180.51
C00580316,149
C00258475,22716.08
C00639567,282.40999999999997
C00650655,4741.25
C00664755,300
C00634139,750
C00660837,637.2900000000001
C00640870,250
C00654004,1120
C00666842,2023
C00670786,32735.84
C00658450,2000
C00285254,12489.89
C00608695,6745
C00656785,848.04
C00648675,2845.01
C00674978,2529.92
C00468256,12046.21
C00658401,30389.329999999998
C00649004,18235.39
C00656975,579.64
C00662866,2166.44
C00659110,3940.73
C00633370,712.11
C00663864,280
C00409409,2701.55
C00229104,6039.97
C00633529,1200.8
C00307314,16781.26
C00630384,4198.05
C00635227,4142.3
C00213512,5840.74
C00465971,4722.47
C00254185,9923.94
C00376087,185688.37
C00441014,55247.479999999996
C00350520,25586.13
C00343236,127777.94
C00269340,220
C00632596,5304.34
C00591685,305
C00501254,1954.6699999999998
C00386755,5927.16
C00386110,1537.21
C00305052,66581.62
C00468413,4995.36
C00630277,17872.09
C00312017,5972.31
C00470948,822.38
C00585463,-200
C00610204,6920
C00301838,6405
C00630483,3131
C00433391,1683.9
C00460402,2282.96
C00630335,1547.29
C00383828,12489.92
C00236513,90712.11
C00614826,6133.91
C00618223,575.58
C00631614,4079
C00632505,4123.21
C00226928,6961.2699999999995
C00331389,4974.4400000000005
C00471292,4447.16
C00435370,3095.29
C00631200,37.92
C00633511,63.54
C00197160,12825.64
C00470757,17720.23
C00472878,764.71
C00634071,1075
C00629774,2265
C00631275,87
C00630061,896.4
C00632232,33311.19
C00376673,151684.66
C00631176,250
C00634667,101.55
C00633081,6621.72
C00431502,267.13
C00636969,6784
C00648055,12864.43
C00596841,257.55
C00367110,30101.69
C00639278,1655.87
C00637272,647.1
C00585976,500
C00472712,455
C00493783,1500
C00567677,1170.65
C00573477,8042.51
C00636175,529.73
C00637330,19.52
C00636514,57
C00637306,684.48
C00640482,1923.75
C00630772,3796.83
C00460261,3671.1800000000003
C00286500,2629.34
C00633388,82.13
C00635839,1094.97
C00639575,475
C00195628,37857.17
C00636761,2354.55
C00354688,29514.2
C00639187,2544.2
C00290064,3350.82
C00636688,211.98
C00630426,41294.94
C00631564,18837.35
C00588392,11735.44
C00580415,4084.16
C00579599,1000
C00273169,3665.3
C00636613,3676.08
C00439661,4115
C00410753,9516.02
C00606764,240
C00637728,1100
C00670604,894.73
C00656579,4000
C00673756,2503
C00658344,1711.7
C00664268,1860
C00648972,1444.38
C00454694,3206
C00668699,6089.44
C00649012,12007.24
C00647008,8507.73
C00634683,1942.49
C00658005,2848.77
C00680785,3423.33
C00664904,2540.84
C00676189,768.13
C00668020,202.56
C00656033,6917.4
C00678607,849.66
C00672295,9917.82
C00654442,4300.58
C00646570,5583.04
C00648519,232.78
C00661629,825.5
C00658591,1227.26
C00653584,795.53
C00665448,1095.53
C00608000,400
C00502393,1400
C00656363,258.7
C00543926,4290.87
C00649954,134
C00615260,296.9
C00630434,2700
C00647081,566.71
C00637215,1317.3
C00650481,822.3
C00650770,3207.16
C00649640,238.77
C00655225,3850
C00637678,2000
C00571869,16213.8
C00648931,672.1
C00638221,53.83
C00374231,3354.27
C00635318,250
C00649228,7936
C00648766,1630.83
C00638940,500
C00641027,837.06
C00650382,650
C00640524,216.3
C00637785,8092.75
C00637587,375
C00650531,1061.12
C00636720,2725.88
C00634782,11.37
C00656116,769.33
C00637470,465.88
C00637892,1220.74
C00650812,625.22
C00651307,473.01
C00649285,1551.79
C00649368,715
C00649186,263.49
C00634543,9332.72
C00616920,2500
C00649061,3055
C00669481,1081
C00658567,51722.61
C00565523,610
C00664607,10327.5
C00566000,300
C00638254,6194.05
C00638205,1150
C00639591,14337.62
C00666149,9153.51
C00670679,9638.36
C00662213,8253
C00671032,734.63
C00668608,8979.69
C00640698,5393.57
C00660449,715
C00636738,668.31
C00664540,171.32
C00646448,321
C00647024,236.97
C00647115,649
C00648006,103
C00647594,1777.9
C00647669,460.96000000000004
C00464339,3278.67
C00648774,28703.49
C00649681,64.29
C00283135,3000
C00648618,1378.38
