"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website","per_advertise","per_poll","per_research","per_consulting","per_fundraise","per_pay","per_materials","per_travel","per_event","per_mail","per_radio","per_television","per_newspaper","per_smedia","per_website"
"117","MCCORMICK FOR CONGRESS","C00648006","MCCORMICK, KAREN A DVM","H8CO04091","DEM","CO",4,"west","C","GOP Hold",60.6,39.4,21.2,955991.94,52707.46,17500,5750,355872.94,19157.36,148753.26,NA,715.89,103,24502.07,NA,9000,NA,NA,2745,0.05513379119075,0.0183055936643148,0.006014695061132,0.372255167758004,0.020039248448057,0.155600956217267,NA,0.000748845225619789,0.000107741494138538,0.0256299964202627,NA,0.00941430531307618,NA,NA,0.00287136312048823
"118","TRITCH FOR CONGRESS","C00648055","TRITCH, COURTNEY","H8IN03076","DEM","IN",3,"midwest","C","GOP Hold",64.7,35.3,29.4,843558.08,430401.12,4367.8,32000,NA,12913.31,135456.29,4124.54,494.56,12864.43,23514.38,NA,424537.33,325,NA,129.72,0.51022108637736,0.00517782960480919,0.037934554547803,NA,0.0153081457058653,0.160577313182751,0.00488945586295611,0.000586278540536296,0.0152502006737936,0.0278752353364928,NA,0.503269828201989,0.000385272819626125,NA,0.000153777200498157
"119","THE COMMITTEE TO ELECT LISA RING, LLC","C00648287","RING, LISA M. MS.","H8GA01063","DEM","GA",1,"south","C","GOP Hold",57.7,42.3,15.4,191727.78,14331.53,NA,NA,NA,1619.25,64637.19,53.29,400.93,3339.77,513.38,NA,NA,NA,NA,999.88,0.0747493660021516,NA,NA,NA,0.00844556798185427,0.337130018404219,0.000277946158871709,0.00209114193050167,0.0174193327644017,0.00267765057311987,NA,NA,NA,NA,0.00521510237066324
"120","BOB RACKLEFF CAMPAIGN COMMITTEE","C00648519","RACKLEFF, ROBERT BRUCE","H8FL02097","DEM","FL",2,"south","C","GOP Hold",67.4,32.6,34.8,260284.65,33000,NA,NA,35104,6814.57,1415,NA,251.6,232.78,100,NA,33000,NA,NA,NA,0.126784272526252,NA,NA,0.134867730386713,0.0261812212130066,0.00543635592801957,NA,0.00096663402932136,0.000894328574504874,0.000384194765231065,NA,0.126784272526252,NA,NA,NA
"121","FRIENDS OF KEVIN GAITHER","C00648675","GAITHER, KEVIN","H8IL15072","DEM","IL",15,"midwest","C","GOP Hold",70.9,29.1,41.8,48286.98,11031.59,NA,NA,NA,400,NA,NA,11345.99,2845.01,NA,2906.33,NA,3125.26,NA,212,0.228458893059785,NA,NA,NA,0.00828380652507156,NA,NA,0.234969964988492,0.0589187810047346,NA,0.0601886885450281,NA,0.0647226229513629,NA,0.00439041745828793
"122","FRIENDS OF JESS KING","C00648774","KING, JESSICA","H8PA16078","DEM","PA",11,"northeast","O","GOP Hold",59,41,18,1890729.46,809396.15,21600,NA,292307.47,5307.08,423756.18,NA,16793.48,28703.49,95652.87,NA,377487.63,15.8,NA,NA,0.428086707867767,0.0114241621855302,NA,0.154600367838982,0.00280689549312888,0.224123117011146,NA,0.00888201107312307,0.015181172456053,0.0505904583514555,NA,0.199651847599603,8.35656308015638e-06,NA,NA
"123","MIKE MILLER FOR CONGRESS","C00648816","MILLER, MIKE","H8FL07062","REP","FL",7,"south","C","Dem Hold",57.7,42.3,15.4,1114479.31,2022,NA,13000,344816.47,76303.77,3500,NA,NA,24466.61,105302.74,NA,NA,NA,NA,NA,0.0018143001685693,NA,0.0116646400550944,0.309396923662944,0.0684658470689779,0.00314048001483311,NA,NA,0.0219533999244903,0.0944860429934765,NA,NA,NA,NA,NA
"124","STEVEN DAVID FOR CONGRESS","C00648964","DAVID, STEVEN","H8TX08080","DEM","TX",8,"south","C","GOP Hold",73.4,24.9,48.5,31164.24,589.3,NA,NA,NA,1375,NA,NA,NA,NA,NA,NA,NA,NA,299.51,NA,0.0189094937017556,NA,NA,NA,0.0441210823687663,NA,NA,NA,NA,NA,NA,NA,NA,0.00961069482201395,NA
"125","MCLEOD-SKINNER FOR OREGON","C00649004","MCLEOD-SKINNER, JAMIE","H8OR02161","DEM","OR",2,"west","C","GOP Hold",56.3,39.4,16.9,1312666.54,514942.75,16500,16656.35,126536.76,27748.16,134210.46,6743.93,1808.83,18235.39,115641.22,NA,NA,NA,14098,4842.75,0.392287556899256,0.0125698336151693,0.0126889423112743,0.0963967284486432,0.021138772989521,0.102242615249414,0.0051375804855969,0.00137798134170465,0.013891867770165,0.0880964178457691,NA,NA,NA,0.0107399705640398,0.00368924616605219
"126","STEPHANY ROSE FOR CONGRESS","C00649038","SPAULDING, STEPHANY ROSE","H8CO05130","DEM","CO",5,"west","C","GOP Hold",57,39.3,17.7,326189.79,116662.11,NA,NA,69092.75,11252.29,15474.14,392.32,1875.84,6008.91,1623.54,4737,NA,NA,25.1,168,0.357651016606007,NA,NA,0.211817635371113,0.0344961441006477,0.0474390691382462,0.00120273537684917,0.00575076246255286,0.0184215146648214,0.00497728638287544,0.0145222203306854,NA,NA,7.69490669833657e-05,0.000515037579808982
"127","COMMITTEE TO ELECT TEDRA COBB","C00649061","COBB, TEDRA","H8NY21245","DEM","NY",21,"northeast","C","GOP Hold",56.1,42.4,13.7,1504992.83,2344.17,34500,7792.5,47270,38270,119941.49,NA,2818.33,3055,6381.74,NA,NA,NA,NA,10000,0.00155759546043817,0.0229236972511025,0.00517776553128163,0.0314087875089744,0.0254286925739042,0.0796957218726417,NA,0.00187265343981738,0.00202991000295995,0.00424037900565945,NA,NA,NA,NA,0.0066445499278558
"128","HOLDEN 2018","C00649079","HOLDEN, DAVID","H8FL19067","DEM","FL",19,"south","C","GOP Hold",62.3,37.7,24.6,639736.54,193830.5,NA,NA,189851.71,49720.65,143573.03,3915.87,18026.97,14197.54,12750.4,NA,NA,NA,NA,16401.4,0.302984881870277,NA,NA,0.296765462232312,0.0777205097585953,0.224425245429939,0.00612106665034328,0.0281787405796768,0.022192792051553,0.0199307045991151,NA,NA,NA,NA,0.0256377414364982
"129","WATTS FOR CONGRESS","C00649194","WATTS, RYAN","H8NC06079","DEM","NC",6,"south","C","GOP Hold",56.6,43.4,13.2,314084.54,3960.68,NA,600,144276.52,43745,NA,2500,NA,5166.91,26827.42,NA,NA,1970,5500,1954.82,0.0126102354480739,NA,0.00191031370089085,0.459355688121421,0.139277788075784,NA,0.00795964042037854,NA,0.0164506982737832,0.0854146466425886,NA,NA,0.00627219665125829,0.0175112089248328,0.00622386571462575
"130","JENNIE LOU LEEDER FOR UNITED STATES CONGRESS","C00649210","LEEDER, VIRGINIA LOUISE","H8TX11100","DEM","TX",21,"south","C","GOP Hold",80.1,18.4,61.7,80541.85,6429.48,NA,NA,12700,7000,15075,NA,2645.01,585.66,NA,2060,NA,NA,1385.52,150,0.0798278162222497,NA,NA,0.157682000103052,0.0869113386394775,0.187169775712875,NA,0.0328401942592578,0.00727149922679948,NA,0.0255767653710462,NA,NA,0.017202485415967,0.0018623858279888
"131","MARK HARRIS FOR CONGRESS","C00649236","HARRIS, MARK EVERETTE","H6NC09200","REP","NC",9,"south","C",NA,48.8,49.4,-0.6,2092146.47,600,24000,7500,NA,64476.3,369107.91,NA,15160.64,7989.21,226.09,NA,NA,600,NA,NA,0.000286786804176287,0.0114714721670515,0.00358483505220359,NA,0.0308182533701859,0.176425463175148,NA,0.00724645249144531,0.00381866667298872,0.000108066047593695,NA,NA,0.000286786804176287,NA,NA
"132","PRICE4WNC","C00649277","PRICE, PHILLIP","H8NC11103","DEM","NC",11,"south","C","GOP Hold",59.2,38.7,20.5,226555.25,10506,NA,NA,3250,800,NA,NA,22022.82,749.84,504.12,10506,NA,NA,NA,880,0.0463727942742444,NA,NA,0.0143452866353792,0.00353114747947796,NA,NA,0.0972072816674961,0.0033097445325147,0.00222515258419304,0.0463727942742444,NA,NA,NA,0.00388426222742576
"133","CAROLYN FOR CONGRESS","C00649376","BOURDEAUX, CAROLYN","H8GA07201","DEM","GA",7,"south","O","GOP Hold",50.1,49.9,0.2,3164529.71,4000.99,NA,96000,245214.9,73351.41,616881.12,NA,21501.74,10026.66,193354.83,NA,NA,NA,NA,1522.59,0.00126432372790079,NA,0.0303362612449608,0.0774885757037181,0.0231792451713149,0.194936112639625,NA,0.00679460835272108,0.00316845184556665,0.0611006524568227,NA,NA,NA,NA,0.000481142583426717
"134","GREG SAGAN FOR CONGRESS","C00649392","SAGAN, GREGORY T. MR.","H8TX13163","DEM","TX",13,"south","C","GOP Hold",81.5,16.9,64.6,35757.57,3723.45,NA,NA,NA,775.27,NA,NA,199.9,882.98,NA,2176.45,NA,347,NA,NA,0.104130398122691,NA,NA,NA,0.021681283152071,NA,NA,0.00559042462896668,0.0246935124506503,NA,0.0608668318344899,NA,0.00970423885068253,NA,NA
"135","ANDREW GRANT FOR CONGRESS","C00649400","GRANT, ANDREW","H8CA07056","REP","CA",7,"west","C","Dem Hold",55,45,10,572896.3,58574.12,2600,300,176812.96,123936.45,14981.63,NA,16743.68,10532.67,92361.54,NA,NA,NA,NA,3818,0.102242098613658,0.00453834315215511,0.00052365497909482,0.308629956241644,0.216333130446121,0.0261506838148544,NA,0.0292263713345679,0.0183849502955421,0.161218600992885,NA,NA,NA,NA,0.00666438236728008
"136","DIANE FOR COLORADO CD3","C00649459","MITSCH BUSH, DIANE MS.","H8CO03192","DEM","CO",3,"west","C","GOP Hold",51.5,43.6,7.9,2121331.72,130597.77,500,80524.29,81381.03,22387.5,369606.91,NA,18682.28,4525,19154.6,NA,NA,NA,NA,1000.08,0.0615640490210555,0.000235700996353366,0.0379593107672948,0.0383631797105264,0.010553512111722,0.174233433892178,NA,0.00880686402030513,0.00213309401699796,0.00902951660950037,NA,NA,NA,NA,0.000471439704866149
"137","BETSY DIRKSEN LONDRIGAN FOR CONGRESS","C00649483","LONDRIGAN, BETSY DIRKSEN","H8IL13150","DEM","IL",13,"midwest","C","GOP Hold",50.4,49.6,0.8,4361816.01,3031.9,135916.29,9033.15,61090.29,53230.61,396024.42,NA,27283.53,15651.04,8432.59,NA,NA,NA,2632.89,3775.54,0.000695100387785499,0.0311604821680683,0.00207096080607031,0.0140057008044225,0.0122037724374348,0.0907934720520227,NA,0.00625508502363446,0.00358819353317931,0.0019332750351384,NA,NA,NA,0.000603622434775739,0.000865589009564849
"138","BRENDAN KELLY FOR SOUTHERN ILLINOIS","C00649558","KELLY, BRENDAN","H8IL12129","DEM","IL",12,"midwest","C","GOP Hold",51.6,45.4,6.2,4163370.22,2799.32,NA,6322.9,718575.55,43607.83,562719.43,21766.59,16996.73,39995,12658.75,NA,NA,NA,NA,5118,0.000672368742648114,NA,0.00151869751328528,0.172594679797657,0.0104741658069505,0.135159594334611,0.00522811781076726,0.00408244501494273,0.00960640007652262,0.00304050548740294,NA,NA,NA,NA,0.00122929255135999
"139","SODERBERG FOR CONGRESS","C00649798","SODERBERG, NANCY","H8FL06098","DEM","FL",6,"south","O","GOP Hold",56.3,43.7,12.6,3430151.23,1300,85300,47238.38,87298.57,137324.26,477678.72,NA,38392.92,17922.37,695.8,NA,NA,NA,28610,13012.41,0.000378992036453157,0.0248677082380417,0.0137715152576524,0.025450356018268,0.0400344622706329,0.139258792971644,NA,0.0111927776432178,0.00522495038797458,0.000202848199203159,NA,NA,NA,0.00834074012532678,0.00379353828081802
"140","COMMITTEE TO ELECT DAVID WILSON BROWN","C00649806","BROWN, DAVID WILSON","H8NC10097","DEM","NC",10,"south",NA,"GOP Hold",59.3,40.7,18.6,123967.09,2492.91,NA,NA,15500,NA,NA,303.88,NA,4032.24,1837.4,1720,NA,NA,860.21,NA,0.0201094500161293,NA,NA,0.125033184210422,NA,NA,0.00245129574308794,NA,0.0325266972064925,0.0148216756560148,0.013874650118834,NA,NA,0.00693901905739661,NA
"141","JANICE ARNOLD-JONES FOR CONGRESS 2018","C00649848","ARNOLD-JONES, JANICE E","H8NM01372","REP","NM",1,"west","O","Dem Hold",59.1,36.3,22.8,311218.82,NA,NA,NA,86029.62,NA,NA,NA,6330.88,110,4597.23,NA,NA,NA,NA,NA,NA,NA,NA,0.276428077196617,NA,NA,NA,0.0203422145228878,0.000353449061981534,0.0147716966473943,NA,NA,NA,NA,NA
"142","HIRAL FOR CONGRESS","C00649897","TIPIRNENI, HIRAL VYAS","H8AZ08083","DEM","AZ",6,"west","C","GOP Hold",55.5,44.5,11,4563573.79,2143708.57,75905.55,20000,726932.35,630795.6,200906.71,NA,29906.87,8301.81,57600.23,NA,NA,38.94,NA,16845.7,0.469743378467427,0.0166329182988843,0.00438253020994759,0.15929014922316,0.138224038665101,0.0440239862978089,NA,0.00655338806299876,0.00181914665611225,0.0126217374037465,NA,NA,8.53278631876795e-06,NA,0.0036913394578857
"143","JOSH MAHONY FOR CONGRESS","C00650093","MAHONY, JOSH","H8AR03074","DEM","AR",3,"south","C","GOP Hold",64.8,32.6,32.2,304625.93,4441.75,NA,NA,65590.62,26384.98,71375,407.1,NA,3913.22,345.31,NA,NA,NA,NA,2740,0.0145809977502572,NA,NA,0.215315288491692,0.0866143601104476,0.234303757398459,0.0013363931297641,NA,0.0128459845818115,0.00113355419218581,NA,NA,NA,NA,0.00899463811238919
"144","TALLEY SERGENT FOR WEST VIRGINIA","C00650176","SERGENT, TALLEY","H8WV02115","DEM","WV",2,"south","C","GOP Hold",54,42.9,11.1,690426.62,2010.31,31000,NA,350724.58,8000,NA,23238.23,7325.57,10069.93,4068.1,NA,NA,NA,NA,NA,0.00291169248369943,0.0448997751564098,NA,0.507982412381493,0.0115870387500412,NA,0.0336577839365464,0.0106102079320175,0.0145850836400254,0.00589215404238035,NA,NA,NA,NA,NA
"145","TIM BJORKMAN FOR SOUTH DAKOTA","C00650226","BJORKMAN, TIMOTHY W MR.","H8SD01097","DEM","SD",0,"midwest","O","GOP Hold",60.3,36,24.3,1030428.2,422338.9,10500,NA,15450,34869.93,210626.02,NA,33257.72,NA,9434.36,NA,NA,NA,NA,8792.25,0.409867373583138,0.0101899385129405,NA,0.0149937666690411,0.0338402326333848,0.204406304097656,NA,0.0322756306552946,NA,0.00915576650561388,NA,NA,NA,NA,0.00853261779908586
"146","LESLIE COCKBURN FOR CONGRESS","C00650366","COCKBURN, LESLIE","H8VA05155","DEM","VA",5,"south","O","GOP Hold",53.3,46.7,6.6,4132478.3,2193138.15,62040,20950,272289.12,37500,1183224.6,NA,36831.72,71830.45,16847.12,7075,1053756,NA,NA,4225,0.530707723256526,0.0150127830072332,0.00506959709867079,0.0658900302029414,0.00907445781384986,0.286323245786917,NA,0.00891274371604081,0.0173819303539961,0.00407675945932977,0.00171204770754634,0.254993716482431,NA,NA,0.00102238891369375
"147","JESSICA MORSE FOR CONGRESS","C00650408","MORSE, JESSICA","H8CA04210","DEM","CA",4,"west","C","GOP Hold",54.1,45.9,8.2,3705181.89,2263536.05,106641.43,NA,184366.88,38447.27,457176.25,NA,7274.39,8594.6,268496.67,NA,2189373.98,NA,NA,529.88,0.610910912662374,0.0287816990274666,NA,0.049759198191482,0.0103766214834867,0.123388341941831,NA,0.00196330172605912,0.00231961621727564,0.0724651793005498,NA,0.590895142262503,NA,NA,0.000143010523027251
"148","CORT VANOSTRAN FOR CONGRESS","C00650440","VANOSTRAN, CORT","H8MO02208","DEM","MO",2,"midwest","C","GOP Hold",51.2,47.2,4,2367941.73,629.35,NA,53056.7,96410.26,73916.23,110559,NA,13217.54,3874.42,96977.36,NA,NA,NA,NA,7200,0.000265779344156412,NA,0.0224062523700699,0.0407147941093973,0.0312153922807889,0.0466899158029535,NA,0.00558186877343473,0.00163619735693412,0.0409542847999051,NA,NA,NA,NA,0.00304061536176399
"149","PERRY GERSHON FOR CONGRESS","C00650457","GERSHON, PERRY","H8NY01155","DEM","NY",1,"northeast","C","GOP Hold",51.5,47.4,4.1,5459465.54,59581.84,155957.7,24000,947913.15,123294.44,420114.36,511.71,66896.18,15577.67,461754.55,NA,NA,NA,NA,158.26,0.0109134931914965,0.0285664775896726,0.00439603470782233,0.173627462808383,0.0225836098967299,0.0769515544922736,9.37289550141569e-05,0.0122532470458638,0.00285333241612511,0.0845787095122868,NA,NA,NA,NA,2.89881855358318e-05
"150","SCHOLTEN4IOWA CAMPAIGN COMMITTEE","C00650622","SCHOLTEN, JAMES D.","H8IA04106","DEM","IA",4,"midwest","C","GOP Hold",50.4,47,3.4,3495417.44,1373084.48,36160,1151,38941.15,88031.79,600323.96,6658.11,6896.66,9525.27,67718.31,335000,385000,2745,1049.98,7312.4,0.392824177246195,0.0103449732744939,0.000329288280944207,0.0111406293149353,0.0251849146807484,0.171745998955707,0.0019048111174956,0.00197305761568781,0.00272507366101601,0.0193734542904838,0.0958397689976623,0.110144212131642,0.000785313928055471,0.000300387584036315,0.00209199619945823
"151","MATT LONGJOHN FOR CONGRESS","C00650689","LONGJOHN, MATT","H8MI06155","DEM","MI",6,"midwest","C","GOP Hold",50.2,45.7,4.5,1635506.27,426.5,NA,96500,1000964.12,3668.06,437183.36,24270.33,18474.12,20823.91,2602.64,NA,NA,NA,2400,NA,0.000260775521209099,NA,0.0590031366862323,0.612020961558282,0.00224276731143317,0.267307663699755,0.014839643506839,0.0112956583162472,0.012732393866029,0.00159133599652907,NA,NA,NA,0.00146743552380267,NA
"152","LIZ FOR INDIANA","C00651331","WATSON, LIZ","H8IN09107","DEM","IN",9,"midwest","C","GOP Hold",56.5,43.5,13,2699267.82,24316.41,NA,47697.86,417545.73,2006.81,378663.31,15907.98,9252.39,16080.77,2083.98,NA,NA,58.9,NA,1433.79,0.00900852068839912,NA,0.0176706659660026,0.154688514754346,0.000743464574034006,0.140283712195702,0.00589344261511627,0.00342774063820018,0.00595745627049338,0.000772053808280499,NA,NA,2.18207321124586e-05,NA,0.000531177376833989
"153","MARY BARZEE FLORES FOR CONGRESS","C00651471","BARZEE FLORES, MARY","H8FL27086","DEM","FL",25,"south","O","GOP Hold",60.5,39.5,21,2192183.44,2062,52275.45,1500,255065.48,3642.5,206066.12,NA,25432.68,6743.61,25698.34,NA,NA,NA,NA,NA,0.000940614714250373,0.0238462936295149,0.000684249307165645,0.116352251981248,0.00166158540090057,0.0940003998935418,NA,0.0116015291129104,0.00307620698019688,0.0117227142268715,NA,NA,NA,NA,NA
"154","DEBONO FOR CONGRESS","C00651497","DEBONO, DAN","H8NY03151","REP","NY",3,"northeast","C","Dem Hold",59,41,18,461401.49,12447.78,6250,NA,89814.08,11750,NA,NA,31736.57,5401.49,271446.58,NA,NA,NA,9000,213.2,0.0269781963642987,0.0135456866426678,NA,0.194654941404719,0.0254658908882154,NA,NA,0.0687829811732944,0.0117067025509606,0.588308850064615,NA,NA,NA,0.0195057887654416,0.000462070462754682
"155","JOHNNY FOR CONGRESS","C00651547","NALBANDIAN, JOHNNY","H8CA28185","REP","CA",28,"west","C","Dem Hold",78.4,21.6,56.8,35729.6,1005.59,NA,NA,NA,NA,NA,53.77,553.42,2440.81,NA,NA,NA,NA,500,NA,0.0281444516591286,NA,NA,NA,NA,NA,0.00150491469257982,0.0154891182660875,0.0683133872195602,NA,NA,NA,NA,0.0139939993730688,NA
"156","CALLAHAN FOR CONGRESS","C00651562","CALLAHAN, MARK ALLEN","H8OR05198","REP","OR",5,"west","C","Dem Hold",55.1,41.9,13.2,28424.51,8691.5,1850,NA,4450,105,7612.3,NA,100,1769.2,1086.57,2235.25,1928.75,NA,NA,1081.11,0.305774840093989,0.0650846751623863,NA,0.156555029444659,0.00369399507678409,0.267807606885748,NA,0.00351809054931818,0.0622420579985372,0.0382265164817265,0.0786381190036345,0.0678551714699743,NA,NA,0.0380344287377337
"157","JUNIUS RODRIGUEZ FOR CONGRESS","C00651653","RODRIGUEZ, JUNIUS","H6IL18161","DEM","IL",18,"midwest","C","GOP Hold",67.2,32.8,34.4,68826.05,8584.04,NA,NA,NA,4564.8,NA,NA,NA,965.28,NA,3098,NA,NA,NA,865,0.124720799755325,NA,NA,NA,0.0663237248105913,NA,NA,NA,0.0140249222496424,NA,0.0450120266962872,NA,NA,NA,0.0125679157818878
"158","BASSILIAN FOR CONGRESS","C00652222","BASSILIAN, RON","H8CA37293","REP","CA",37,"west","C","Dem Hold",89.1,10.9,78.2,8438.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0557543896241799,NA,NA,NA,NA,NA
"159","GINA ORTIZ JONES FOR CONGRESS","C00652297","JONES, GINA ORTIZ","H8TX23121","DEM","TX",23,"south","C","GOP Hold",49.2,48.7,0.5,6499860.08,NA,NA,56552.51,4980038.93,81820.75,972468.54,161378.43,45195.79,6614.69,1500,NA,NA,NA,NA,9500,NA,NA,0.00870057344372865,0.76617632821413,0.0125880786652257,0.149613765224312,0.0248279852202603,0.00695334814038028,0.00101766652183073,0.00023077419845013,NA,NA,NA,NA,0.00146156992351749
"160","CARRIGAN FOR CONGRESS","C00652321","CARRIGAN, SEAN J MR.","H8SC02106","DEM","SC",2,"south","C","GOP Hold",56.3,42.5,13.8,164488.56,NA,NA,NA,NA,NA,52099,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316733273122459,NA,NA,0.00212780755087162,NA,NA,NA,NA,NA,NA
"161","LAUREN BAER FOR CONGRESS","C00652594","BAER, LAUREN","H8FL18028","DEM","FL",18,"south","C","GOP Hold",54.3,45.7,8.6,4606964.32,9903.02,148074.26,11414.25,214720.27,90681.41,211634.31,NA,26720.72,6554.4,6475.16,NA,NA,NA,5400,168,0.00214957601408122,0.0321413950086768,0.00247760764077287,0.0466077562328505,0.0196835494484576,0.04593790949959,NA,0.00580007096733929,0.00142271559854408,0.00140551555215865,NA,NA,NA,0.00117213844625565,3.64665294390645e-05
"162","FRIENDS OF WILLIAM TANOOS","C00652636","TANOOS, WILLIAM","H8IN08141","DEM","IN",8,"midwest","C","GOP Hold",64.4,35.6,28.8,233700.11,54664.09,NA,NA,98051.85,1382.07,NA,NA,NA,7339.29,NA,NA,NA,NA,NA,NA,0.233906993026233,NA,NA,0.419562703671813,0.00591386114452407,NA,NA,NA,0.0314047348972151,NA,NA,NA,NA,NA,NA
"163","RICK NEAL FOR CONGRESS","C00652651","NEAL, RICK","H8OH15134","DEM","OH",15,"midwest","C","GOP Hold",58.3,39.7,18.6,1598340.72,593568.61,33600,30600,113408.74,28650,555103.93,NA,5239.6,14185.49,90723.4,NA,NA,NA,NA,NA,0.37136550584784,0.0210218006583728,0.0191448541710181,0.0709540453927746,0.0179248389542375,0.347300123843432,NA,0.00327814960504792,0.00887513520896846,0.0567609889836255,NA,NA,NA,NA,NA
"164","PAUL DAVIS FOR KANSAS","C00653121","DAVIS, PAUL T.","H8KS02173","DEM","KS",2,"midwest","O","GOP Hold",48.1,46.4,1.7,4233371.06,2843506.5,106073.86,20000,112890.93,78844.96,767460.74,NA,68470.91,4849.25,33252.49,NA,186364,NA,NA,NA,0.67168846285825,0.0250565940232038,0.0047243673461499,0.0266669111684247,0.0186246277216248,0.181288322975402,NA,0.0161740865682584,0.00114548191766587,0.00785484889670881,NA,0.044022599804894,NA,NA,NA
"165","KATIE ARRINGTON FOR CONGRESS","C00653204","ARRINGTON, KATHERINE ELIZABETH","H8SC01124","REP","SC",1,"south","C","Dem Pickup",50.7,49.3,1.4,1699750.14,NA,119018,NA,562163.22,72864.88,NA,NA,15209.29,2788.84,1587.94,NA,NA,NA,NA,NA,NA,0.0700208796570536,NA,0.330732857006854,0.0428679947042099,NA,NA,0.00894795631550882,0.00164073526712579,0.000934219661249741,NA,NA,NA,NA,NA
"166","OLSEN FOR CONGRESS","C00653253","OLSEN, MARTIN","H8TN01079","DEM","TN",1,"south","C","GOP Hold",77.1,21,56.1,189264.33,938.98,NA,NA,NA,11107.96,46805.99,NA,2842.09,3878.39,338.15,NA,NA,270.91,600,135,0.00496120954223123,NA,NA,NA,0.0586901927056197,0.247304867219301,NA,0.0150165115634837,0.0204919225931268,0.0017866546749723,NA,NA,0.00143138435013085,0.00317016946616407,0.000713288129886915
"167","TATIANA MATTA FOR CONGRESS","C00653592","MATTA, TATIANA","H8CA23103","DEM","CA",23,"west","C","GOP Hold",63.7,36.3,27.4,104890.75,4500,NA,NA,44150,NA,NA,1946.98,9188.47,250,2780.88,NA,NA,NA,NA,382.1,0.042901781138947,NA,NA,0.42091414161878,NA,NA,0.0185619799648682,0.0876003842092844,0.00238343228549705,0.0265121566963722,NA,NA,NA,NA,0.0036428379051537
"168","JERAMEY ANDERSON FOR CONGRESS","C00653659","ANDERSON, JERAMEY DEWAYNE","H8MS04438","DEM","MS",4,"south","C","GOP Hold",69.6,29.3,40.3,136476.91,9014.64,3500,NA,50527.67,1150,NA,2352.79,18846.11,30636.38,NA,780,NA,NA,NA,244.77,0.0660524919563317,0.0256453637468785,NA,0.370228707552069,0.00842633380254579,NA,0.0172394729628624,0.13809009890391,0.224480316853598,NA,0.00571525249216149,NA,NA,NA,0.00179349019552099
"169","PALZEWICZ FOR WISCONSIN","C00653733","PALZEWICZ, TOM","H8WI05165","DEM","WI",5,"midwest","C","GOP Hold",62,38,24,265997.07,42536.54,3500,NA,38485,1967.46,62069.48,NA,3307.95,10749.64,1443.88,800,NA,NA,NA,186.22,0.159913565965219,0.0131580396731438,NA,0.144682044805982,0.00739654763866384,0.233346480094687,NA,0.0124360392390788,0.040412625597718,0.00542818009235966,0.00300755192529,NA,NA,NA,0.000700082899409381
"170","SARA DADY FOR CONGRESS","C00654178","DADY, SARA","H8IL16120","DEM","IL",16,"midwest","C","GOP Hold",59.1,40.9,18.2,434244.87,12055.99,NA,NA,50139.58,33685.02,216015.11,4317.5,NA,8007.24,3578.65,6221.44,4134.5,NA,2039.13,8000,0.0277631143921171,NA,NA,0.115463839561306,0.0775714863367298,0.497449998660894,0.00994254693210308,NA,0.0184394579030951,0.00824108756886408,0.0143270316584281,0.00952112571876785,NA,0.00469580676911624,0.0184227852824145
"171","BRYAN WITT FOR CONGRESS","C00654335","WITT, BRYAN","H8CA27112","DEM","CA",27,"west","C","Dem Hold",79.2,20.8,58.4,9900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","LISA BROWN FOR CONGRESS","C00654400","BROWN, LISA","H8WA05193","DEM","WA",5,"west","C","GOP Hold",54.8,45.2,9.6,5702925.41,5560833.81,4561.13,233754.25,675113.98,112823.56,417976.54,10233.62,78470.3,24317.1,496389.91,22867.77,2608729.42,NA,NA,17096.25,0.975084436533074,0.000799787770676804,0.0409884810329301,0.118380292825888,0.0197834535591445,0.0732916021077681,0.00179445096407109,0.0137596574316759,0.00426396949841923,0.0870412769435117,0.00400983150856255,0.457437057729289,NA,NA,0.00299780354307668
"173","TRACY MITRANO FOR CONGRESS","C00654525","MITRANO, TRACY","H8NY23183","DEM","NY",23,"northeast","C","GOP Hold",54.2,45.8,8.4,2251264.62,73336.42,6200,5250,202283.16,7750,202032.29,689.04,5927.37,13214.19,33084.87,3799.4,NA,NA,NA,NA,0.03257565518886,0.00275400765637227,0.00233202261225071,0.0898531244185768,0.00344250957046533,0.0897416892732939,0.000306067973475282,0.00263290683260504,0.00586967426334804,0.0146961266596905,0.00168767365961626,NA,NA,NA,NA
